,Window Max Daily Deaths-alias,SUM(Confirm + Probable deaths)-alias,SUM(Confirmed Deathsby Death Dt)-alias,SUM(Probable Deathsby Death Dt)-alias,DAY(Epi Dt)-value,DAY(Epi Dt)-alias,County Parameter Cum Curve-alias,AGG(Prelim start date)-alias,AGG(Prelim end date)-alias,Measure Names-alias,Measure Values-value,Measure Values-alias
121,93,4,4,0,2021-08-21 00:00:00,8/21/21,Wisconsin,8/8/2021,8/22/2021,Probable case death,0,0.00
122,93,8,8,0,2021-08-20 00:00:00,8/20/21,Wisconsin,8/7/2021,8/21/2021,Probable case death,0,0.00
123,93,9,7,2,2021-08-19 00:00:00,8/19/21,Wisconsin,8/6/2021,8/20/2021,Probable case death,2,2.00
124,93,14,14,0,2021-08-18 00:00:00,8/18/21,Wisconsin,8/5/2021,8/19/2021,Probable case death,0,0.00
125,93,12,9,3,2021-08-17 00:00:00,8/17/21,Wisconsin,8/4/2021,8/18/2021,Probable case death,3,3.00
126,93,7,7,0,2021-08-16 00:00:00,8/16/21,Wisconsin,8/3/2021,8/17/2021,Probable case death,0,0.00
127,93,14,14,0,2021-08-15 00:00:00,8/15/21,Wisconsin,8/2/2021,8/16/2021,Probable case death,0,0.00
128,93,2,2,0,2021-08-14 00:00:00,8/14/21,Wisconsin,8/1/2021,8/15/2021,Probable case death,0,0.00
129,93,4,4,0,2021-08-13 00:00:00,8/13/21,Wisconsin,7/31/2021,8/14/2021,Probable case death,0,0.00
130,93,6,5,1,2021-08-12 00:00:00,8/12/21,Wisconsin,7/30/2021,8/13/2021,Probable case death,1,1.00
131,93,5,5,0,2021-08-11 00:00:00,8/11/21,Wisconsin,7/29/2021,8/12/2021,Probable case death,0,0.00
132,93,6,6,0,2021-08-10 00:00:00,8/10/21,Wisconsin,7/28/2021,8/11/2021,Probable case death,0,0.00
133,93,5,5,0,2021-08-09 00:00:00,8/9/21,Wisconsin,7/27/2021,8/10/2021,Probable case death,0,0.00
134,93,5,5,0,2021-08-08 00:00:00,8/8/21,Wisconsin,7/26/2021,8/9/2021,Probable case death,0,0.00
135,93,7,7,0,2021-08-07 00:00:00,8/7/21,Wisconsin,7/25/2021,8/8/2021,Probable case death,0,0.00
136,93,3,3,0,2021-08-06 00:00:00,8/6/21,Wisconsin,7/24/2021,8/7/2021,Probable case death,0,0.00
137,93,3,3,0,2021-08-05 00:00:00,8/5/21,Wisconsin,7/23/2021,8/6/2021,Probable case death,0,0.00
138,93,2,2,0,2021-08-04 00:00:00,8/4/21,Wisconsin,7/22/2021,8/5/2021,Probable case death,0,0.00
139,93,3,3,0,2021-08-03 00:00:00,8/3/21,Wisconsin,7/21/2021,8/4/2021,Probable case death,0,0.00
140,93,3,3,0,2021-08-02 00:00:00,8/2/21,Wisconsin,7/20/2021,8/3/2021,Probable case death,0,0.00
141,93,3,3,0,2021-08-01 00:00:00,8/1/21,Wisconsin,7/19/2021,8/2/2021,Probable case death,0,0.00
142,93,0,0,0,2021-07-31 00:00:00,7/31/21,Wisconsin,7/18/2021,8/1/2021,Probable case death,0,0.00
143,93,3,3,0,2021-07-30 00:00:00,7/30/21,Wisconsin,7/17/2021,7/31/2021,Probable case death,0,0.00
144,93,2,2,0,2021-07-29 00:00:00,7/29/21,Wisconsin,7/16/2021,7/30/2021,Probable case death,0,0.00
145,93,2,2,0,2021-07-28 00:00:00,7/28/21,Wisconsin,7/15/2021,7/29/2021,Probable case death,0,0.00
146,93,6,5,1,2021-07-27 00:00:00,7/27/21,Wisconsin,7/14/2021,7/28/2021,Probable case death,1,1.00
147,93,3,3,0,2021-07-26 00:00:00,7/26/21,Wisconsin,7/13/2021,7/27/2021,Probable case death,0,0.00
148,93,0,0,0,2021-07-25 00:00:00,7/25/21,Wisconsin,7/12/2021,7/26/2021,Probable case death,0,0.00
149,93,4,4,0,2021-07-24 00:00:00,7/24/21,Wisconsin,7/11/2021,7/25/2021,Probable case death,0,0.00
150,93,2,1,1,2021-07-23 00:00:00,7/23/21,Wisconsin,7/10/2021,7/24/2021,Probable case death,1,1.00
151,93,0,0,0,2021-07-22 00:00:00,7/22/21,Wisconsin,7/9/2021,7/23/2021,Probable case death,0,0.00
152,93,1,1,0,2021-07-21 00:00:00,7/21/21,Wisconsin,7/8/2021,7/22/2021,Probable case death,0,0.00
153,93,0,0,0,2021-07-20 00:00:00,7/20/21,Wisconsin,7/7/2021,7/21/2021,Probable case death,0,0.00
154,93,0,0,0,2021-07-19 00:00:00,7/19/21,Wisconsin,7/6/2021,7/20/2021,Probable case death,0,0.00
155,93,0,0,0,2021-07-18 00:00:00,7/18/21,Wisconsin,7/5/2021,7/19/2021,Probable case death,0,0.00
156,93,1,1,0,2021-07-17 00:00:00,7/17/21,Wisconsin,7/4/2021,7/18/2021,Probable case death,0,0.00
157,93,2,2,0,2021-07-16 00:00:00,7/16/21,Wisconsin,7/3/2021,7/17/2021,Probable case death,0,0.00
158,93,2,2,0,2021-07-15 00:00:00,7/15/21,Wisconsin,7/2/2021,7/16/2021,Probable case death,0,0.00
159,93,2,2,0,2021-07-14 00:00:00,7/14/21,Wisconsin,7/1/2021,7/15/2021,Probable case death,0,0.00
160,93,0,0,0,2021-07-13 00:00:00,7/13/21,Wisconsin,6/30/2021,7/14/2021,Probable case death,0,0.00
