Virus name,Accession ID,Collection date
hCoV-19/USA/WI-UW-1747/2020,EPI_ISL_605620,2020-09-16
hCoV-19/USA/WI-UW-1748/2020,EPI_ISL_605621,2020-09-17
hCoV-19/USA/WI-UW-1749/2020,EPI_ISL_605622,2020-09-16
hCoV-19/USA/WI-UW-1750/2020,EPI_ISL_605623,2020-09-17
hCoV-19/USA/WI-UW-1751/2020,EPI_ISL_605624,2020-09-16
hCoV-19/USA/WI-UW-1752/2020,EPI_ISL_605625,2020-09-17
hCoV-19/USA/WI-UW-1753/2020,EPI_ISL_605626,2020-09-17
hCoV-19/USA/WI-UW-1754/2020,EPI_ISL_605627,2020-09-16
hCoV-19/USA/WI-UW-1755/2020,EPI_ISL_605628,2020-09-17
hCoV-19/USA/WI-UW-1756/2020,EPI_ISL_605629,2020-09-16
hCoV-19/USA/WI-UW-1757/2020,EPI_ISL_605630,2020-09-17
hCoV-19/USA/WI-UW-1758/2020,EPI_ISL_605631,2020-09-17
hCoV-19/USA/WI-UW-1759/2020,EPI_ISL_605632,2020-09-16
hCoV-19/USA/WI-UW-1760/2020,EPI_ISL_605633,2020-09-16
hCoV-19/USA/WI-UW-1761/2020,EPI_ISL_605634,2020-09-18
hCoV-19/USA/WI-UW-1762/2020,EPI_ISL_605635,2020-09-14
hCoV-19/USA/WI-UW-1763/2020,EPI_ISL_605636,2020-09-14
hCoV-19/USA/WI-UW-1764/2020,EPI_ISL_605637,2020-09-14
hCoV-19/USA/WI-UW-1765/2020,EPI_ISL_605638,2020-09-14
hCoV-19/USA/WI-UW-1766/2020,EPI_ISL_605639,2020-09-14
hCoV-19/USA/WI-UW-1767/2020,EPI_ISL_605640,2020-09-14
hCoV-19/USA/WI-UW-1769/2020,EPI_ISL_605641,2020-09-16
hCoV-19/USA/WI-UW-1770/2020,EPI_ISL_605642,2020-09-16
hCoV-19/USA/WI-UW-1771/2020,EPI_ISL_605643,2020-09-16
hCoV-19/USA/WI-UW-1772/2020,EPI_ISL_605644,2020-09-16
hCoV-19/USA/WI-UW-1773/2020,EPI_ISL_605645,2020-09-16
hCoV-19/USA/WI-UW-1774/2020,EPI_ISL_605646,2020-09-16
hCoV-19/USA/WI-UW-1775/2020,EPI_ISL_605647,2020-09-14
hCoV-19/USA/WI-UW-1776/2020,EPI_ISL_605648,2020-09-14
hCoV-19/USA/WI-UW-1777/2020,EPI_ISL_605649,2020-09-14
hCoV-19/USA/WI-UW-1818/2020,EPI_ISL_605690,2020-09-09
hCoV-19/USA/WI-UW-1819/2020,EPI_ISL_605691,2020-09-09
hCoV-19/USA/WI-UW-1820/2020,EPI_ISL_605692,2020-09-11
hCoV-19/USA/WI-UW-1821/2020,EPI_ISL_605693,2020-09-09
hCoV-19/USA/WI-UW-1822/2020,EPI_ISL_605694,2020-09-09
hCoV-19/USA/WI-UW-1823/2020,EPI_ISL_605695,2020-09-09
hCoV-19/USA/WI-UW-1824/2020,EPI_ISL_605696,2020-09-09
hCoV-19/USA/WI-UW-1825/2020,EPI_ISL_605697,2020-09-09
hCoV-19/USA/WI-UW-1826/2020,EPI_ISL_605698,2020-09-11
hCoV-19/USA/WI-UW-1827/2020,EPI_ISL_605699,2020-09-09
hCoV-19/USA/WI-WSLH-201247/2020,EPI_ISL_803487,2020-09-03
hCoV-19/USA/WI-WSLH-201250/2020,EPI_ISL_803490,2020-09-04
hCoV-19/USA/WI-WSLH-201251/2020,EPI_ISL_803491,2020-09-04
hCoV-19/USA/WI-WSLH-201252/2020,EPI_ISL_803492,2020-09-04
hCoV-19/USA/WI-WSLH-201253/2020,EPI_ISL_803493,2020-09-09
hCoV-19/USA/WI-WSLH-201254/2020,EPI_ISL_803494,2020-09-10
hCoV-19/USA/WI-WSLH-201255/2020,EPI_ISL_803495,2020-09-10
hCoV-19/USA/WI-WSLH-201256/2020,EPI_ISL_803496,2020-09-14
hCoV-19/USA/WI-WSLH-201258/2020,EPI_ISL_803497,2020-09-15
hCoV-19/USA/WI-WSLH-201259/2020,EPI_ISL_803498,2020-09-14
hCoV-19/USA/WI-WSLH-201260/2020,EPI_ISL_803499,2020-09-15
hCoV-19/USA/WI-UW-2679/2021,EPI_ISL_832015,2021-01-08
hCoV-19/USA/WI-UW-2714/2021,EPI_ISL_832016,2021-01-09
hCoV-19/USA/WI-UW-2758/2020,EPI_ISL_832017,2020-12-31
hCoV-19/USA/WI-UW-2798/2021,EPI_ISL_832018,2021-01-04
hCoV-19/USA/WI-CDC-LC00001813/2020,EPI_ISL_888493,2020-12-26
hCoV-19/USA/WI-GMF-35564/2020,EPI_ISL_942471,2020-11-18
hCoV-19/USA/WI-GMF-35565/2020,EPI_ISL_942472,2020-11-18
hCoV-19/USA/WI-GMF-35570/2020,EPI_ISL_942473,2020-11-18
hCoV-19/USA/WI-GMF-35581/2020,EPI_ISL_942474,2020-11-18
