OBJECTID,GEOID,GEO,NAME,NEGATIVE,POSITIVE,HOSP_YES,HOSP_NO,HOSP_UNK,DEATHS,DATE
28113,55101002100,Census tract,,48,-999,,,,,1588687200000
28114,55101002401,Census tract,,73,5,,,,,1588687200000
28115,55101002402,Census tract,,218,24,,,,,1588687200000
28120,55101980000,Census tract,,23,-999,,,,,1588687200000
28123,55103970200,Census tract,,60,-999,,,,,1588687200000
28124,55103970300,Census tract,,36,-999,,,,,1588687200000
28126,55103970500,Census tract,,78,5,,,,,1588687200000
28129,55105000200,Census tract,,42,-999,,,,,1588687200000
28130,55105000300,Census tract,,53,6,,,,,1588687200000
28131,55105000400,Census tract,,81,-999,,,,,1588687200000
28132,55105000500,Census tract,,66,-999,,,,,1588687200000
28133,55105000600,Census tract,,43,-999,,,,,1588687200000
28134,55105000700,Census tract,,75,7,,,,,1588687200000
28138,55105001100,Census tract,,93,10,,,,,1588687200000
28139,55105001201,Census tract,,80,5,,,,,1588687200000
28140,55105001202,Census tract,,77,-999,,,,,1588687200000
28141,55105001302,Census tract,,87,10,,,,,1588687200000
28146,55105001600,Census tract,,81,19,,,,,1588687200000
28147,55105001700,Census tract,,96,23,,,,,1588687200000
28148,55105001800,Census tract,,75,30,,,,,1588687200000
28152,55105002200,Census tract,,28,-999,,,,,1588687200000
28153,55105002300,Census tract,,30,15,,,,,1588687200000
28154,55105002400,Census tract,,41,5,,,,,1588687200000
28159,55105002800,Census tract,,46,-999,,,,,1588687200000
28160,55105002900,Census tract,,121,-999,,,,,1588687200000
28161,55105003001,Census tract,,81,-999,,,,,1588687200000
28162,55105003002,Census tract,,75,-999,,,,,1588687200000
28169,55107960300,Census tract,,24,-999,,,,,1588687200000
28171,55107960500,Census tract,,47,-999,,,,,1588687200000
28173,55109120100,Census tract,,16,-999,,,,,1588687200000
28174,55109120201,Census tract,,31,-999,,,,,1588687200000
28179,55109120502,Census tract,,47,-999,,,,,1588687200000
28180,55109120600,Census tract,,64,-999,,,,,1588687200000
28181,55109120700,Census tract,,80,-999,,,,,1588687200000
28182,55109120800,Census tract,,84,-999,,,,,1588687200000
28188,55111000100,Census tract,,102,22,,,,,1588687200000
28189,55111000200,Census tract,,61,5,,,,,1588687200000
28190,55111000300,Census tract,,123,-999,,,,,1588687200000
28191,55111000401,Census tract,,87,-999,,,,,1588687200000
28193,55111000500,Census tract,,72,-999,,,,,1588687200000
28194,55111000600,Census tract,,147,6,,,,,1588687200000
28195,55111000700,Census tract,,49,-999,,,,,1588687200000
28196,55111000800,Census tract,,79,6,,,,,1588687200000
28202,55113100300,Census tract,,93,-999,,,,,1588687200000
28203,55113100400,Census tract,,31,-999,,,,,1588687200000
28205,55113100700,Census tract,,22,-999,,,,,1588687200000
28209,55115100100,Census tract,,24,-999,,,,,1588687200000
28211,55115100300,Census tract,,44,-999,,,,,1588687200000
28212,55115100400,Census tract,,70,-999,,,,,1588687200000
28214,55115100600,Census tract,,45,-999,,,,,1588687200000
28217,55115100900,Census tract,,21,-999,,,,,1588687200000
28225,55117000400,Census tract,,122,15,,,,,1588687200000
28227,55117000800,Census tract,,47,-999,,,,,1588687200000
28228,55117000900,Census tract,,54,-999,,,,,1588687200000
28230,55117001100,Census tract,,23,-999,,,,,1588687200000
28233,55117010300,Census tract,,17,-999,,,,,1588687200000
28236,55117010502,Census tract,,35,-999,,,,,1588687200000
28237,55117010601,Census tract,,44,-999,,,,,1588687200000
28238,55117010602,Census tract,,30,-999,,,,,1588687200000
28239,55117010700,Census tract,,61,-999,,,,,1588687200000
28244,55117011200,Census tract,,33,-999,,,,,1588687200000
28245,55117011300,Census tract,,41,-999,,,,,1588687200000
28246,55117011400,Census tract,,25,-999,,,,,1588687200000
28249,55119960200,Census tract,,14,-999,,,,,1588687200000
28250,55119960300,Census tract,,21,-999,,,,,1588687200000
28251,55119960400,Census tract,,24,-999,,,,,1588687200000
28252,55119960500,Census tract,,19,-999,,,,,1588687200000
28257,55121100300,Census tract,,31,-999,,,,,1588687200000
28258,55121100400,Census tract,,71,-999,,,,,1588687200000
28259,55121100500,Census tract,,47,-999,,,,,1588687200000
28260,55121100600,Census tract,,61,-999,,,,,1588687200000
28261,55121100700,Census tract,,109,-999,,,,,1588687200000
28266,55123960300,Census tract,,79,-999,,,,,1588687200000
28267,55123960400,Census tract,,101,-999,,,,,1588687200000
28268,55123960500,Census tract,,51,-999,,,,,1588687200000
28269,55123960600,Census tract,,77,-999,,,,,1588687200000
28274,55125950500,Census tract,,44,-999,,,,,1588687200000
28278,55127000101,Census tract,,43,5,,,,,1588687200000
28280,55127000200,Census tract,,44,7,,,,,1588687200000
28281,55127000301,Census tract,,32,-999,,,,,1588687200000
28282,55127000302,Census tract,,62,-999,,,,,1588687200000
28283,55127000400,Census tract,,39,6,,,,,1588687200000
28285,55127000502,Census tract,,18,-999,,,,,1588687200000
28288,55127000702,Census tract,,64,7,,,,,1588687200000
28289,55127000800,Census tract,,44,8,,,,,1588687200000
28290,55127000901,Census tract,,55,18,,,,,1588687200000
28291,55127000902,Census tract,,40,8,,,,,1588687200000
28292,55127001000,Census tract,,50,-999,,,,,1588687200000
28298,55127001701,Census tract,,52,5,,,,,1588687200000
28299,55127001702,Census tract,,56,6,,,,,1588687200000
28305,55129950600,Census tract,,40,-999,,,,,1588687200000
28311,55131420103,Census tract,,94,5,,,,,1588687200000
28312,55131420104,Census tract,,75,6,,,,,1588687200000
28313,55131420105,Census tract,,61,-999,,,,,1588687200000
28314,55131420106,Census tract,,57,-999,,,,,1588687200000
28317,55131420401,Census tract,,32,-999,,,,,1588687200000
28318,55131420402,Census tract,,40,-999,,,,,1588687200000
28323,55131440106,Census tract,,35,-999,,,,,1588687200000
